date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-01-22 00:00:00+00:00,317.7,319.99,317.31,318.58,25458115,76.661469743,77.2140500569,76.5673621787,76.8738150165,101832460,0.0,1.0
2020-01-23 00:00:00+00:00,319.23,319.56,315.65,317.92,26117993,77.0306609571,77.1102904346,76.1668017765,76.7145560614,104471972,0.0,1.0
2020-01-24 00:00:00+00:00,318.31,323.33,317.52,320.25,36634380,76.8086636258,78.0199968902,76.6180354825,77.2767884331,146537520,0.0,1.0
2020-01-27 00:00:00+00:00,308.95,311.77,304.88,310.06,40485005,74.5500820809,75.2305521617,73.5679851912,74.8179266872,161940020,0.0,1.0
2020-01-28 00:00:00+00:00,317.69,318.4,312.19,312.6,40558486,76.6590567286,76.830380756,75.3318987695,75.4308323628,162233944,0.0,1.0
2020-01-29 00:00:00+00:00,324.34,327.85,321.38,324.45,54149928,78.2637113518,79.1106794311,77.5494590683,78.2902545109,216599712,0.0,1.0
2020-01-30 00:00:00+00:00,323.87,324.09,318.75,320.54,31685808,78.1502996716,78.20338599,76.9148362625,77.3467658528,126743232,0.0,1.0
2020-01-31 00:00:00+00:00,309.51,322.68,308.29,320.93,49897096,74.6852108913,77.8631509496,74.3908231258,77.4408734171,199588384,0.0,1.0
2020-02-03 00:00:00+00:00,308.66,313.49,302.22,304.3,43496401,74.4801046613,75.6455906507,72.9261233419,73.4280303519,173985604,0.0,1.0
2020-02-04 00:00:00+00:00,318.85,319.64,313.63,315.31,34154134,76.9389664072,77.1295945504,75.6793728533,76.0847592845,136616536,0.0,1.0
2020-02-05 00:00:00+00:00,321.45,324.76,318.95,323.52,29706718,77.5663501696,78.3650579595,76.9630965519,78.0658441651,118826872,0.0,1.0
2020-02-06 00:00:00+00:00,325.21,325.22,320.26,322.57,26356385,78.4736436107,78.4760566252,77.2792014476,77.8366077904,105425540,0.0,1.0
2020-02-07 00:00:00+00:00,320.03,323.4,318.0,322.37,29421012,77.409504229,78.2246466508,76.9184837197,77.9755081658,117684048,0.77,1.0
2020-02-10 00:00:00+00:00,321.55,321.55,313.85,314.18,27337215,77.7771649059,77.7771649059,75.914673319,75.994494387,109348860,0.0,1.0
2020-02-11 00:00:00+00:00,319.61,323.9,318.71,323.6,23580780,77.3079137788,78.345587663,77.090219957,78.2730230557,94323120,0.0,1.0
2020-02-12 00:00:00+00:00,327.2,327.22,321.47,321.47,28432573,79.1437983431,79.1486359836,77.757814344,77.757814344,113730292,0.0,1.0
2020-02-13 00:00:00+00:00,324.87,326.22,323.35,324.19,23686892,78.5802132265,78.9067539593,78.2125525496,78.41573345,94747568,0.0,1.0
2020-02-14 00:00:00+00:00,324.95,325.98,322.85,324.74,20028447,78.5995637885,78.8487022735,78.0916115375,78.5487685634,80113788,0.0,1.0
2020-02-18 00:00:00+00:00,319.0,319.75,314.61,315.36,38190545,77.160365744,77.3417772622,76.0985036575,76.2799151757,152762180,0.0,1.0
2020-02-19 00:00:00+00:00,323.62,324.57,320.0,320.0,23495991,78.2778606962,78.5076486192,77.4022477683,77.4022477683,93983964,0.0,1.0
2020-02-20 00:00:00+00:00,320.3,324.65,318.21,322.63,25141489,77.4748123756,78.5269991812,76.9692789448,78.0383974921,100565956,0.0,1.0
2020-02-21 00:00:00+00:00,313.05,320.45,310.5,318.62,32426415,75.7211676996,77.5110946792,75.1043685377,77.0684505748,129705660,0.0,1.0
2020-02-24 00:00:00+00:00,298.18,304.18,289.23,297.26,55548828,72.1243819986,73.5756741443,69.9595378813,71.9018505363,222195312,0.0,1.0
2020-02-25 00:00:00+00:00,288.08,302.53,286.13,300.95,57668364,69.6813735534,73.1765688042,69.2097036061,72.7943952058,230673456,0.0,1.0
2020-02-26 00:00:00+00:00,292.65,297.88,286.5,286.53,49678431,70.7867744044,72.0518173913,69.2991999551,69.3064564158,198713724,0.0,1.0
2020-02-27 00:00:00+00:00,273.52,286.0,272.96,281.1,80151381,66.15957128,69.1782589429,66.0241173464,67.993037024,320605524,0.0,1.0
2020-02-28 00:00:00+00:00,273.36,278.41,256.37,257.26,106721230,66.1208701561,67.3423743787,62.0112945636,62.2265695652,426884920,0.0,1.0
2020-03-02 00:00:00+00:00,298.81,301.44,277.72,282.28,85349339,72.2767676739,72.9129173977,67.1754757819,68.2784578126,341397356,0.0,1.0
2020-03-03 00:00:00+00:00,289.32,304.0,285.8,303.67,79868852,69.9813072635,73.5321353799,69.1298825381,73.4523143119,319475408,0.0,1.0
2020-03-04 00:00:00+00:00,302.74,303.4,293.13,296.44,54794568,73.2273640293,73.3870061653,70.902877776,71.7035072764,219178272,0.0,1.0
2020-03-05 00:00:00+00:00,292.92,299.55,291.41,295.52,46893219,70.8520825509,72.4557603719,70.4868406942,71.480975814,187572876,0.0,1.0
2020-03-06 00:00:00+00:00,289.03,290.82,281.23,282.0,56544246,69.9111614765,70.3441302999,68.0244816871,68.2107308458,226176984,0.0,1.0
2020-03-09 00:00:00+00:00,266.17,278.09,263.0,263.75,71686208,64.3817384015,67.2649721309,63.6149723846,63.7963839028,286744832,0.0,1.0
2020-03-10 00:00:00+00:00,285.34,286.44,269.37,277.14,71322520,69.0186168069,69.2846870336,65.1557608792,67.0351842078,285290080,0.0,1.0
2020-03-11 00:00:00+00:00,275.43,281.22,271.86,277.39,64094970,66.6215659463,68.0220628669,65.7580471197,67.0956547139,256379880,0.0,1.0
2020-03-12 00:00:00+00:00,248.23,270.0,248.0,255.94,104618517,60.042374886,65.3081465545,59.9867420204,61.9072852932,418474068,0.0,1.0
2020-03-13 00:00:00+00:00,277.97,279.92,252.95,264.89,92683032,67.235946288,67.7076162353,61.1840580406,64.0721294105,370732128,0.0,1.0
2020-03-16 00:00:00+00:00,242.21,259.08,240.0,241.95,80605865,58.5862450999,62.6667948494,58.0516858262,58.5233557736,322423460,0.0,1.0
2020-03-17 00:00:00+00:00,252.86,257.61,238.4,247.51,81013965,61.1622886584,62.3112282737,57.6646745874,59.8682198285,324055860,0.0,1.0
2020-03-18 00:00:00+00:00,246.67,250.0,237.12,239.77,75058406,59.6650389281,60.470506069,57.3550655963,57.9960529606,300233624,0.0,1.0
2020-03-19 00:00:00+00:00,244.78,252.84,242.61,247.39,67964255,59.2078819023,61.1574510179,58.6829979096,59.8391939856,271857020,0.0,1.0
2020-03-20 00:00:00+00:00,229.24,251.83,228.0,247.18,100423346,55.449035245,60.9131501734,55.1491015349,59.7883987605,401693384,0.0,1.0
2020-03-23 00:00:00+00:00,224.37,228.5,212.61,228.08,84188208,54.2710697868,55.2700425471,51.4265371813,55.1684520969,336752832,0.0,1.0
2020-03-24 00:00:00+00:00,246.88,247.69,234.3,236.36,71882773,59.7158341532,59.9117585929,56.6729582879,57.1712352579,287531092,0.0,1.0
2020-03-25 00:00:00+00:00,245.52,258.25,244.3,250.75,75900510,59.3868746002,62.4660327693,59.0917785306,60.6519175872,303602040,0.0,1.0
